time,Hub Name,Satnet,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate
2020-05-28T00:02:54.746126,KAC_BHI-1,1,17847784,0,3723599,0
2020-05-28T00:03:15.042909,KAC_BHI-1,2,24344200,0,2014642,0
2020-05-28T00:03:30.176308,KAC_BHI-1,3,645970,0,0,0
2020-05-28T00:03:47.012514,KAC_BHI-1,4,643215,0,0,0
2020-05-28T00:04:01.599296,KAC_BHI-1,5,614715,0,0,0
2020-05-28T00:04:18.497554,KAC_BHI-1,6,52515304,0,5779093,0
2020-05-28T00:04:34.939265,KAC_BHI-1,8,55548415,1369986,3550936,0
2020-05-28T00:04:52.788695,KAC_BHI-1,9,40234802,0,9279074,0
2020-05-28T00:05:06.127027,KAC_BHI-1,10,616233,0,0,0
2020-05-28T00:05:25.593133,KAC_BHI-1,11,919603,0,43821,0
2020-05-28T00:05:41.071036,KAC_BHI-1,12,98877365,0,12314281,0
2020-05-28T00:06:06.204009,KAC_BHI-1,13,629211,0,0,0
2020-05-28T00:06:23.392570,KAC_BHI-1,15,7069307,0,115563,0
2020-05-28T00:06:39.777293,KAC_BHI-1,16,6137666,0,99730,0
2020-05-28T00:06:54.579332,KAC_BHI-1,17,648162,0,0,0
2020-05-28T00:07:12.729701,KAC_BHI-1,18,629224,0,0,0
2020-05-28T00:07:32.302786,KAC_BHI-1,19,572543,0,0,0
