time,Hub Name,Satnet,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate
2020-05-28T00:02:54.707154,KAC_JAV-1,1,14421023,4429,134380,0
2020-05-28T00:03:13.668871,KAC_JAV-1,2,638457,0,0,0
2020-05-28T00:03:27.745011,KAC_JAV-1,3,634406,0,0,0
2020-05-28T00:03:42.224868,KAC_JAV-1,4,626217,0,0,0
2020-05-28T00:03:55.477585,KAC_JAV-1,5,646389,0,56549,0
2020-05-28T00:04:12.735707,KAC_JAV-1,6,788977,0,77426,0
2020-05-28T00:04:29.352383,KAC_JAV-1,8,619445,0,0,0
2020-05-28T00:04:43.450563,KAC_JAV-1,9,645996,0,0,0
2020-05-28T00:04:59.299392,KAC_JAV-1,10,639722,0,0,0
2020-05-28T00:05:11.025047,KAC_JAV-1,11,572939,0,4795,0
2020-05-28T00:05:28.410569,KAC_JAV-1,12,775806,0,0,0
2020-05-28T00:05:43.736503,KAC_JAV-1,13,566119,0,3268,0
