time,Hub Name,Beam ID,Satnet,SN name,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate,certificationEnabled
time,Hub Name,Beam ID,Satnet,SN name,FWD Total bitrate,FWD Drop bitrate,RTN Total bitrate,RTN Drop bitrate,certificationEnabled
2020-06-15T02:59:07,KAC_BHI-1,Beam-BHI-36,15,BHI-36-SN1,22720246,207658,2055504,0,TRUE
2020-06-15T02:59:06,KAC_BHI-1,Beam-BHI-42,1,BHI-42-SN1,45002739,121987,3194676,0,FALSE
2020-06-15T02:59:07,KAC_BHI-1,Beam-BHI-24,8,BHI-24-SN1,46747240,3657378,3832690,0,TRUE
2020-06-15T02:59:25,KAC_BHI-1,Beam-BHI-40,16,BHI-40-SN1,13666032,0,489526,0,TRUE
2020-06-15T02:59:41,KAC_BHI-1,Beam-BHI-34,2,BHI-34-SN1,105242346,0,6608707,0,FALSE
2020-06-15T02:59:48,KAC_BHI-1,Beam-BHI-39,9,BHI-39-SN1,27566498,883830,9455490,0,TRUE
2020-06-15T03:00:02,KAC_BHI-1,Beam-BHI-43,17,BHI-43-SN1,649993,0,0,0,FALSE
2020-06-15T03:00:06,KAC_BHI-1,Beam-BHI-54,3,BHI-54-SN1,672404,0,4734,0,TRUE
2020-06-15T03:00:41,KAC_BHI-1,Beam-BHI-55,18,BHI-55-SN1,630441,0,0,0,FALSE
2020-06-15T03:00:22,KAC_BHI-1,Beam-BHI-31,10,BHI-31-SN1,621710,0,0,0,FALSE
2020-06-15T03:00:45,KAC_BHI-1,Beam-BHI-23,4,BHI-23-SN1,637625,0,0,0,TRUE
2020-06-15T03:00:56,KAC_BHI-1,Beam-BHI-42,19,BHI-42-SN2,571943,0,0,0,FALSE
2020-06-15T03:01:07,KAC_BHI-1,Beam-BHI-27,5,BHI-27-SN1,619441,0,0,0,FALSE
2020-06-15T03:01:07,KAC_BHI-1,Beam-BHI-41,11,BHI-41-SN1,2150848,0,12646,0,TRUE
2020-06-15T03:01:34,KAC_BHI-1,Beam-BHI-35,6,BHI-35-SN1,54166430,0,3096874,0,TRUE
2020-06-15T03:01:39,KAC_BHI-1,Beam-BHI-38,12,BHI-38-SN1,154879313,11424,11998350,0,TRUE
2020-06-15T02:59:10,KAC_BHI-2,Beam-BHI-25,8,BHI-25-SN2,567820,0,0,0,TRUE
2020-06-15T02:59:10,KAC_BHI-2,Beam-BHI-22,1,BHI-22-SN1,36659549,1365315,4390680,0,TRUE
2020-06-15T02:59:10,KAC_BHI-2,Beam-BHI-21,15,BHI-21-SN1,54790092,2146659,5490173,0,FALSE
2020-06-15T02:59:49,KAC_BHI-2,Beam-BHI-26,9,BHI-26-SN2,573269,0,0,0,FALSE
2020-06-15T02:59:49,KAC_BHI-2,Beam-BHI-37,2,BHI-37-SN1,67207891,0,6735224,0,TRUE
2020-06-15T03:00:12,KAC_BHI-2,Beam-BHI-14,3,BHI-14-SN2,0,571929,0,0,TRUE
2020-06-15T03:00:07,KAC_BHI-2,Beam-BHI-26,10,BHI-26-SN1,1295402,0,36148,0,FALSE
2020-06-15T03:00:45,KAC_BHI-2,Beam-BHI-37,11,BHI-37-SN2,10682672,0,677861,0,TRUE
2020-06-15T03:00:31,KAC_BHI-2,Beam-BHI-21,4,BHI-21-SN2,579401,0,0,0,FALSE
2020-06-15T03:01:07,KAC_BHI-2,Beam-BHI-22,5,BHI-22-SN2,574732,0,0,0,TRUE
2020-06-15T03:01:03,KAC_BHI-2,Beam-BHI-37,12,BHI-37-SN3,570506,0,0,0,TRUE
2020-06-15T03:01:25,KAC_BHI-2,Beam-BHI-25,6,BHI-25-SN1,12962712,14964,246563,0,TRUE
2020-06-15T03:01:25,KAC_BHI-2,Beam-BHI-14,13,BHI-14-SN1,44207958,2270,6568557,0,TRUE
2020-06-15T02:58:50,KAC_JAV-1,Beam-JAV-20,8,JAV-20-SN-1,621628,0,0,0,FALSE
2020-06-15T02:58:50,KAC_JAV-1,Beam-JAV-10,1,JAV-10-SN-1,49370030,206891,2478210,0,FALSE
2020-06-15T02:59:00,KAC_JAV-1,Beam-JAV-7,9,JAV-7-SN-1,641551,0,0,0,FALSE
2020-06-15T02:59:02,KAC_JAV-1,Beam-JAV-16,2,JAV-16-SN-1,666765,0,30,0,FALSE
2020-06-15T02:59:17,KAC_JAV-1,Beam-JAV-3,10,JAV-3-SN-1,2084904,0,105940,0,FALSE
2020-06-15T02:59:26,KAC_JAV-1,Beam-JAV-19,3,JAV-19-SN-1,645769,0,0,0,FALSE
2020-06-15T02:59:48,KAC_JAV-1,Beam-JAV-5,11,JAV-5-SN-1,578263,0,0,0,FALSE
2020-06-15T03:00:07,KAC_JAV-1,Beam-JAV-4,12,JAV-4-SN-1,19194300,0,57999,0,FALSE
2020-06-15T03:00:30,KAC_JAV-1,Beam-JAV-9,13,JAV-9-SN-1,580612,0,12150,0,FALSE
2020-06-15T03:00:02,KAC_JAV-1,Beam-JAV-28,4,JAV-28-SN-1,627090,0,0,0,FALSE
2020-06-15T03:00:49,KAC_JAV-1,Beam-JAV-6,5,JAV-6-SN-1,641306,0,0,0,FALSE
2020-06-15T03:01:09,KAC_JAV-1,Beam-JAV-8,6,JAV-8-SN-1,728325,0,0,0,FALSE
2020-06-15T02:58:54,KAC_JAV-2,Beam-JAV-1,1,JAV-1-SN-1,5593336,0,653043,0,FALSE
2020-06-15T02:58:54,KAC_JAV-2,Beam-JAV-2,9,JAV-2-SN-1,18991685,0,500149,0,FALSE
2020-06-15T02:59:06,KAC_JAV-2,Beam-JAV-15,2,JAV-15-SN-1,1045427,0,37433,0,TRUE
2020-06-15T02:59:08,KAC_JAV-2,Beam-JAV-11,10,JAV-11-SN-1,9059593,0,403332,0,FALSE
2020-06-15T02:59:27,KAC_JAV-2,Beam-JAV-12,3,JAV-12-SN-1,1494493,0,84294,0,TRUE
2020-06-15T02:59:34,KAC_JAV-2,Beam-JAV-12,11,JAV-12-SN-2,564948,0,0,0,TRUE
2020-06-15T02:59:47,KAC_JAV-2,Beam-JAV-13,4,JAV-13-SN-1,68913603,1286054,5178074,0,TRUE
2020-06-15T03:00:13,KAC_JAV-2,Beam-JAV-17,5,JAV-17-SN-1,26725838,0,654596,0,TRUE
2020-06-15T03:00:32,KAC_JAV-2,Beam-JAV-18,6,JAV-18-SN-1,645807,0,0,0,FALSE
2020-06-15T02:58:59,KAC_SUB-1,Beam-SUB-47,1,SUB-47-SN-1,658147,0,6052,0,FALSE
2020-06-15T02:58:59,KAC_SUB-1,Beam-SUB-45,8,SUB-45-SN-2,41519950,0,2356893,0,FALSE
2020-06-15T02:59:17,KAC_SUB-1,Beam-SUB-48,2,SUB-48-SN-1,1068310,0,39260,0,FALSE
2020-06-15T02:59:51,KAC_SUB-1,Beam-SUB-45,3,SUB-45-SN-1,299373729,632375,39560595,0,FALSE
2020-06-15T02:59:34,KAC_SUB-1,Beam-SUB-45,9,SUB-45-SN-3,147661551,0,20291818,0,FALSE
2020-06-15T03:00:25,KAC_SUB-1,Beam-SUB-51,4,SUB-51-SN-1,5552697,0,259040,0,FALSE
