time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower,BE_RX,BE_TX,CD1_RX,CD1_TX,CD2_RX,CD2_TX,CD3_RX,CD3_TX,RT1_RX,RT1_TX,RT2_RX,RT2_TX,RT3_RX,RT3_TX
2020-07-29T08:50:58,New31-806,Newtec MDM2510 modem. Software version: 4.2.0.20. Hardware identifier: NTC/2499.AA,00:06:39:8c:08:b5,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,69.0,13.0859375,19,1015530,11.69999980926514,-49.09999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:50:58,New33-806,Newtec MDM2510 modem. Software version: 4.2.0.20. Hardware identifier: NTC/2499.AA,00:06:39:8c:06:31,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,64.0,14.25762045231072,18,17989276,11.10000038146973,-54.90000152587891,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:50:58,JYHD-806,Newtec MDM2510 modem. Software version: 4.3.1.8. Hardware identifier: NTC/2499.AA,00:06:39:8c:0e:1f,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,50.20000076293945,13.18359375,20,318144,12.19999980926514,-48.70000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:50:58,LDY27175-AMU806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8c:09:2c,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,45.79999923706055,15.28724440116845,9,27355572,7.099999904632568,-53.09999847412109,15,12,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:50:58,HZ-test603,Newtec MDM2510 modem. Software version: 4.2.0.20. Hardware identifier: NTC/2499.AA,00:06:39:8c:00:7a,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,42.79999923706055,13.62745098039216,19,1753781632,11.60000038146973,-49.79999923706055,2,5,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:50:58,YXH13333-806,Newtec MDM2510 modem. Software version: 4.2.0.20. Hardware identifier: NTC/2499.AA,00:06:39:8c:0d:cb,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,46.0,12.38938053097345,20,2015965,13.19999980926514,-48.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:50:58,New26-806,Newtec MDM2510 modem. Software version: 4.2.0.20. Hardware identifier: NTC/2499.AA,00:06:39:8b:fb:8e,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,61.59999847412109,12.67190569744597,18,16907482,10.89999961853027,-58.79999923706055,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:51:42,YXH13909-803,Newtec MDM2510 modem. Software version: 4.2.0.20. Hardware identifier: NTC/2499.AA,00:06:39:8b:6e:c3,1,Beam21,SN21,vno,101,12609500000,5700000,18v,71.7,10600000000,0,12800000000,46.59999847412109,13.6852394916911,21,611228,13.5,-46.29999923706055,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:51:42,JHY11669-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8c:00:34,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,48.59999847412109,21.43549951503395,20,292435,12.80000019073486,-45.09999847412109,37,13,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New473-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:ed:02,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,46.0,16.29048086359176,13,1398067,8.5,-49.90000152587891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New520-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f2:3b,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,57.59999847412109,13.73895976447498,21,2128703,13.30000019073486,-44.79999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,ZH6789-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8c:0f:1b,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,53.20000076293945,17.38703339882122,21,9983502,13.5,-45.40000152587891,475,433,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29T08:54:11,New525-806,Newtec MDM2510 modem. Software version: 4.2.0.21. Hardware identifier: NTC/2499.AA,00:06:39:8b:f6:8d,1,Beam21,SN21,vno,1,12609500000,5700000,band,69.3,9750000000,10600000000,12800000000,56.59999847412109,12.36506378802748,21,1330681,13.30000019073486,-46.40000152587891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
