time,modem name,modemType,macaddress,HPS,beamName,satnetName,VNO,hub module,ActiveBeamID,CF,SymbolRate,RXvoltage,ElevationOffset,LowBand_LO,HighBand_LO,BUC_LO,temperature,cpuUsage,forwardModcod,uptime,ESN0,ReceivePower,BE_RX,BE_TX,CD1_RX,CD1_TX,CD2_RX,CD2_TX,CD3_RX,CD3_TX,RT1_RX,RT1_TX,RT2_RX,RT2_TX,RT3_RX,RT3_TX
2020-07-30T08:26:54,Taotin-ModemTest-SUB-29,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:ac:34,3,Beam-SUB-45,SUB-45-SN-1,TaotinMedia_SVNO,KAC_SUB-1,29,19950000000,428571400,18v,71.7,17150000000,18050000000,27600000000,50.40000152587891,17.92828685258964,21,29467090,13.89999961853027,-19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,Test_HRC_JAV-1-1,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:2b:61,1,Beam-JAV-1,JAV-1-SN-1,Kacific_SVNO,KAC_JAV-2,1,20075000000,214285700,18v,68.4,17150000000,18050000000,27600000000,44.79999923706055,15.625,18,3834659,11.19999980926514,-32.70000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,TENTANINI_HP3_T0003_B29,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:6a:94,8,Beam-SUB-45,SUB-45-SN-2,Kacific_SVNO,KAC_SUB-1,29,19950000000,428571400,18v,68.4,17150000000,18050000000,27600000000,42.0,22.16844143272023,24,53605164,14.60000038146973,-23.70000076293945,203,142,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,AMBAE_HP3_T0001_B35,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:2e:b0,6,Beam-BHI-35,BHI-35-SN1,Kacific_SVNO,KAC_BHI-1,35,20100000000,171428600,18v,71.7,17150000000,18050000000,27600000000,53.40000152587891,18.56866537717602,18,17238394,10.30000019073486,-30.10000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,Test_JAV_3_1,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:bc:38,1,Beam-JAV-1,JAV-1-SN-1,Kacific_SVNO,KAC_JAV-2,1,20075000000,214285700,18v,68.4,17150000000,18050000000,27600000000,53.0,16.71525753158406,14,12635552,10.10000038146973,-35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,TENTANINI_HP1_T0001_B29,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:7c:c3,8,Beam-SUB-45,SUB-45-SN-2,Kacific_SVNO,KAC_SUB-1,29,19950000000,428571400,18v,68.4,17150000000,18050000000,27600000000,46.40000152587891,45.25193798449612,21,4831726,14.60000038146973,-22.29999923706055,7,10,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,GENESIS_HP3_T0004_B37,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8c:10:e9,2,Beam-BHI-37,BHI-37-SN1,Kacific_SVNO,KAC_BHI-2,37,19850000000,257142900,18v,68.4,17150000000,18050000000,27600000000,48.40000152587891,15.61590688651794,21,1491456,13.5,-27.10000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:54,RT_SUB-1-46,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:f0:eb,5,Beam-SUB-46,SUB-46-SN-1,Kacific_SVNO,KAC_SUB-1,46,19825000000,214285700,18v,68.4,17150000000,18050000000,27600000000,49.0,18.32669322709163,58,10491286,9.300000190734863,-32.59999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,TENTANINI_HP1_T0004_B29,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:7c:a7,8,Beam-SUB-45,SUB-45-SN-2,Kacific_SVNO,KAC_SUB-1,29,19950000000,428571400,18v,68.4,17150000000,18050000000,27600000000,40.40000152587891,47.42967992240543,24,3517288,14.69999980926514,-20.89999961853027,177,130,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-30T08:26:55,Test_HRC_BHI-2-25,Newtec MDM2510 modem. Software version: 4.3.0.5. Hardware identifier: NTC/2499.AA,00:06:39:8b:e6:02,6,Beam-BHI-25,BHI-25-SN1,Kacific_SVNO,KAC_BHI-2,25,19825000000,214285700,18v,68.4,17150000000,18050000000,27600000000,46.20000076293945,14.6484375,20,140625680,12.69999980926514,-26.10000038146973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
