[Executing file /usr/local/automate/scripts/operational/hub_dialog_versions.groovy on platform 'CMS-0' as user 'hno']
[Filter mode is enabled, only hubmodules matching JAV* will be used. Experimental!]
KAC_JAV-1 KAC_JAV-1.ENC-1 10.50.10.180
+------------+--------------+---------------------------------------------------------------------------------------------------------------------+
| KAC_JAV-1  | BSC-0-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 16:46:33 UTC 2020               |
| KAC_JAV-1  | BSC-0-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 16:55:10 UTC 2020               |
| KAC_JAV-1  | HMGW-0-1     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:28 UTC 2020               |
| KAC_JAV-1  | HMGW-0-2     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:28 UTC 2020               |
| KAC_JAV-1  | LOG-0-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:05 UTC 2020               |
| KAC_JAV-1  | LOG-0-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | MON-0-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:00 UTC 2020               |
| KAC_JAV-1  | MON-0-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:01 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-1  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:14 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-2  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:14 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-3  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:14 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-4  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:14 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-5  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:14 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-6  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:14 UTC 2020               |
| KAC_JAV-1  | PGICPMCTL-7  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:14 UTC 2020               |
| KAC_JAV-1  | PGICSE-1     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:00 UTC 2020               |
| KAC_JAV-1  | PGICSE-2     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:02 UTC 2020               |
| KAC_JAV-1  | PGICSE-3     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGICSE-4     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGICSE-5     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGICSE-6     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGICSE-7     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:04 UTC 2020               |
| KAC_JAV-1  | PGIDCP-1     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIDCP-2     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIDCP-3     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIDCP-4     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:04 UTC 2020               |
| KAC_JAV-1  | PGIDCP-5     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIDCP-6     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIDCP-7     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIDEM-1     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-2     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-3     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-4     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-5     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-6     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIDEM-7     |  Release: DIALOG CLOUD 2.2.1.3 C7DEM, Timestamp: 20200221202646, Image creation date: Fri Feb 21 21:24:10 UTC 2020  |
| KAC_JAV-1  | PGIHRCCTL-1  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-2  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-3  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-4  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-5  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-6  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIHRCCTL-7  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:04 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-1   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:02 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-2   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:02 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-3   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-4   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-5   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-6   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIL2DEM-7   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-1  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-2  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:04 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-3  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-4  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:04 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-5  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-6  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:04 UTC 2020               |
| KAC_JAV-1  | PGIS2XCTL-7  |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGITAS-1     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:03 UTC 2020               |
| KAC_JAV-1  | PGITAS-2     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:04 UTC 2020               |
| KAC_JAV-1  | PGITAS-3     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:06 UTC 2020               |
| KAC_JAV-1  | PGITAS-4     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:06 UTC 2020               |
| KAC_JAV-1  | PGITAS-5     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:07 UTC 2020               |
| KAC_JAV-1  | PGITAS-6     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:07 UTC 2020               |
| KAC_JAV-1  | PGITAS-7     |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:07 UTC 2020               |
| KAC_JAV-1  | REDCTL-0-1   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:33 UTC 2020               |
| KAC_JAV-1  | REDCTL-0-2   |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:31 UTC 2020               |
| KAC_JAV-1  | TCS-1-1      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
| KAC_JAV-1  | TCS-1-2      |  Release: DIALOG CLOUD 2.2.1.4, Timestamp: 20200406141642, Install date: Thu May 28 17:04:30 UTC 2020               |
